name,category,province,regency,latitude,longitude,qid,images
Air Terjun Sudimoro,air-terjun,Jawa Tengah,Kebumen,-7.528917,109.527806,,https://upload.wikimedia.org/wikipedia/commons/8/85/Curug_Sudimoro_Kebumen.jpg?utm_source=id.wikipedia.org&utm_campaign=api&utm_content=thumbnail_unscaled
Air Terjun Sindaro,air-terjun,Jawa Tengah,Kebumen,-7.559185,109.726471,,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b6/Curug_Sindaro_Kebumen.jpg/960px-Curug_Sindaro_Kebumen.jpg?utm_source=id.wikipedia.org&utm_campaign=api&utm_content=thumbnail|https://commons.wikimedia.org/wiki/Special:FilePath/Curug%20Sindaro%20Kebumen.jpg?width=800
Air Terjun Gemawang,air-terjun,Jawa Tengah,Kebumen,-7.699556,109.404444,,https://upload.wikimedia.org/wikipedia/commons/thumb/9/93/Curug_Gemawang_Kebumen.jpg/960px-Curug_Gemawang_Kebumen.jpg?utm_source=id.wikipedia.org&utm_campaign=api&utm_content=thumbnail
Air Terjun Kalicurug,air-terjun,Jawa Tengah,Kebumen,-7.586139,109.718056,,https://upload.wikimedia.org/wikipedia/id/thumb/1/1b/Kalicurug_Waterfalls.jpg/960px-Kalicurug_Waterfalls.jpg?utm_source=id.wikipedia.org&utm_campaign=api&utm_content=thumbnail
Air Terjun 7 Bidadari,air-terjun,Jawa Tengah,Semarang,-7.201549,110.289655,,
Kali Pancur Getasan,air-terjun,Jawa Tengah,Semarang,-7.358096,110.421068,,
Tumpak Sewu,air-terjun,Jawa Tengah,Pati,-8.230408,112.916939,,https://commons.wikimedia.org/wiki/Special:FilePath/Air%20Terjun%20Tumpak%20Sewu.jpg?width=800
Air Terjun Sigura-gura,air-terjun,Sumatera Utara,Toba,2.522388,99.281675,,https://upload.wikimedia.org/wikipedia/commons/4/41/Stamp_of_Indonesia_-_1993_-_Colnect_252638_-_Waterfall.jpeg?utm_source=id.wikipedia.org&utm_campaign=api&utm_content=thumbnail_unscaled
Curug Putri Landung,air-terjun,Jawa Barat,Kota Cirebon,-6.945,108.43,,https://upload.wikimedia.org/wikipedia/commons/8/85/Curug_Putri_Landung22.jpg?utm_source=id.wikipedia.org&utm_campaign=api&utm_content=thumbnail_unscaled
Air Terjun Leses,air-terjun,Jawa Tengah,Kebumen,-7.700389,109.404417,,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1d/Curug_Leses_Kebumen.jpg/960px-Curug_Leses_Kebumen.jpg?utm_source=id.wikipedia.org&utm_campaign=api&utm_content=thumbnail
Air Terjun Karang Gemantung,air-terjun,Jawa Tengah,Banjarnegara,-7.512278,109.695694,,
Air Terjun Gumawang,air-terjun,Jawa Tengah,Kebumen,-7.608417,109.751944,,
Curug Cihear,air-terjun,Banten,Lebak,-6.601482,106.420186,,
Pantai Amban,pantai,Papua Barat,Manokwari,-0.815389,134.079389,,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f1/Pantai_amban.jpg/960px-Pantai_amban.jpg?utm_source=id.wikipedia.org&utm_campaign=api&utm_content=thumbnail|https://commons.wikimedia.org/wiki/Special:FilePath/Pantai%20amban.jpg?width=800
Pantai Sanur,pantai,Bali,Kota Denpasar,-8.683333,115.266667,,https://upload.wikimedia.org/wikipedia/commons/thumb/9/97/Sanur_Beach.JPG/960px-Sanur_Beach.JPG?utm_source=id.wikipedia.org&utm_campaign=api&utm_content=thumbnail|https://commons.wikimedia.org/wiki/Special:FilePath/Pemandangan%20Pantai%20Sanur.jpg?width=800
